2022-01-26 14:58:44,606 INFO    MainThread:11373 [wandb_setup.py:_flush():69] setting env: {'project': 'experiment_3', 'run_group': 'dev'}
2022-01-26 14:58:44,607 INFO    MainThread:11373 [wandb_setup.py:_flush():69] setting login settings: {}
2022-01-26 14:58:44,607 INFO    MainThread:11373 [wandb_init.py:_log_setup():334] Logging user logs to /Users/gdegournay/PycharmProjects/Udacity/MLOps/MLOps_ex/reproducible_workflow/exercices/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/download_data/wandb/run-20220126_145844-3nmmu7lf/logs/debug.log
2022-01-26 14:58:44,607 INFO    MainThread:11373 [wandb_init.py:_log_setup():335] Logging internal logs to /Users/gdegournay/PycharmProjects/Udacity/MLOps/MLOps_ex/reproducible_workflow/exercices/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/download_data/wandb/run-20220126_145844-3nmmu7lf/logs/debug-internal.log
2022-01-26 14:58:44,607 INFO    MainThread:11373 [wandb_init.py:init():367] calling init triggers
2022-01-26 14:58:44,607 INFO    MainThread:11373 [wandb_init.py:init():372] wandb.init called with sweep_config: {}
config: {}
2022-01-26 14:58:44,608 INFO    MainThread:11373 [wandb_init.py:init():416] starting backend
2022-01-26 14:58:44,608 INFO    MainThread:11373 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-01-26 14:58:44,892 INFO    MainThread:11373 [backend.py:ensure_launched():123] starting backend process...
2022-01-26 14:58:44,895 INFO    MainThread:11373 [backend.py:ensure_launched():127] started backend process with pid: 11379
2022-01-26 14:58:44,897 INFO    MainThread:11373 [wandb_init.py:init():421] backend started and connected
2022-01-26 14:58:44,898 INFO    MainThread:11373 [wandb_init.py:init():461] updated telemetry
2022-01-26 14:58:44,898 INFO    MainThread:11373 [wandb_init.py:init():480] communicating current version
2022-01-26 14:58:45,323 INFO    MainThread:11373 [wandb_init.py:init():485] got version response upgrade_message: "wandb version 0.12.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-01-26 14:58:45,323 INFO    MainThread:11373 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2022-01-26 14:58:45,536 INFO    MainThread:11373 [wandb_init.py:init():518] starting run threads in backend
2022-01-26 14:58:45,546 INFO    MainThread:11373 [wandb_run.py:_console_start():1476] atexit reg
2022-01-26 14:58:45,546 INFO    MainThread:11373 [wandb_run.py:_redirect():1339] redirect: SettingsConsole.REDIRECT
2022-01-26 14:58:45,547 INFO    MainThread:11373 [wandb_run.py:_redirect():1344] Redirecting console.
2022-01-26 14:58:45,547 INFO    MainThread:11373 [redirect.py:install():213] install start
2022-01-26 14:58:45,547 INFO    MainThread:11373 [redirect.py:install():228] install stop
2022-01-26 14:58:45,547 INFO    MainThread:11373 [redirect.py:install():213] install start
2022-01-26 14:58:45,547 INFO    MainThread:11373 [redirect.py:install():228] install stop
2022-01-26 14:58:45,547 INFO    MainThread:11373 [wandb_run.py:_redirect():1390] Redirects installed.
2022-01-26 14:58:45,548 INFO    MainThread:11373 [wandb_init.py:init():542] run started, returning control to user process
2022-01-26 14:58:46,307 INFO    MainThread:11373 [wandb_run.py:finish():1135] finishing run geodego/experiment_3/3nmmu7lf
